WORD,ENCODED
crime,okugf
words,lzksa
about,pvzir
their,rcfuk
there,rcfkf
first,xukar
found,xzits
those,rczaf
young,qzitd
under,itsfk
death,sfprc
after,pxrfk
taken,rpmft
being,vfutd
never,tfjfk
every,fjfkq
years,qfpka
where,lcfkf
began,vfdpt
house,cziaf
which,lcuoc
three,rckff
times,rugfa
great,dkfpr
later,eprfk
still,aruee
blood,vezzs
heart,cfpkr
other,zrcfk
place,nepof
stood,arzzs
quite,wiurf
given,dujft
could,ozies
would,lzies
thing,rcutd
these,rcfaf
smile,aguef
hands,cptsa
thats,rcpra
lying,equtd
going,dzutd
along,peztd
least,efpar
voice,jzuof
round,kzits
might,gudcr
whole,lczef
ought,zidcr
right,kudcr
clerk,oefkm
woman,lzgpt
bring,vkutd
while,lcuef
again,pdput
haste,cparf
table,rpvef
light,eudcr
shall,acpee
money,gztfq
cried,okufs
point,nzutr
alone,peztf
asked,pamfs
added,pssfs
think,rcutm
drink,skutm
clear,oefpk
drunk,skitm
doubt,szivr
youve,qzijf
ready,kfpsq
didnt,sustr
since,autof
child,ocues
tears,rfpka
means,gfpta
speak,anfpm
sonia,aztup
whats,lcpra
heard,cfpks
tried,rkufs
sofya,azxqp
doing,szutd
today,rzspq
youre,qzikf
leave,efpjf
rodya,kzsqp
marfa,gpkxp
pyotr,nqzrk
water,lprfk
youll,qziee
crowd,okzls